"link"|"datasetFolder"|"datasetDescription"|"title"|"dsFeatures"|"numberObs"|"area"|"atributeType"|"numberAttr"|"dateDonated"|"missingValues"|"numberWebHits"|"image"
"http://archive.ics.uci.edu/ml/datasets/Kinship"|"http://archive.ics.uci.edu/ml/machine-learning-databases/kinship/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/kinship/kinship.names"|"Kinship Data Set"|"Relational"|"104"|"Social"|"Categorical"|"12"|"1990-07-01"|"No"|"65958"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large55.jpg"
"http://archive.ics.uci.edu/ml/datasets/ISTANBUL+STOCK+EXCHANGE"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00247/"|"http://archive.ics.uci.edu/ml/datasets/ISTANBUL+STOCK+EXCHANGE#"|"ISTANBUL STOCK EXCHANGE Data Set"|"Multivariate, Univariate, Time-Series"|"536"|"Business"|"Real"|"8"|"2013-06-01"|"N/A"|"110567"|""
"http://archive.ics.uci.edu/ml/datasets/Sponge"|"http://archive.ics.uci.edu/ml/machine-learning-databases/sponge/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/sponge/sponge.info"|"Sponge Data Set"|"Multivariate"|"76"|"Life"|"Categorical, Integer"|"45"|"N/A"|"Yes"|"81863"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large97.jpg"
"http://archive.ics.uci.edu/ml/datasets/Spoken+Arabic+Digit"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00195/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00195/documentation.html"|"Spoken Arabic Digit Data Set"|"Multivariate, Time-Series"|"8800"|"N/A"|"Real"|"13"|"2010-09-13"|"No"|"69077"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large195.jpg"
"http://archive.ics.uci.edu/ml/datasets/Forest+type+mapping"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00333/"|"http://archive.ics.uci.edu/ml/datasets/Forest+type+mapping#"|"Forest type mapping Data Set"|"Multivariate"|"326"|"Life"|"N/A"|"27"|"2015-05-25"|"N/A"|"47080"|""
"http://archive.ics.uci.edu/ml/datasets/Condition+monitoring+of+hydraulic+systems"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00447/"|"http://archive.ics.uci.edu/ml/datasets/Condition+monitoring+of+hydraulic+systems#"|"Condition monitoring of hydraulic systems Data Set"|"Multivariate, Time-Series"|"2205"|"Computer"|"Real"|"43680"|"2018-04-26"|"N/A"|"24405"|""
"http://archive.ics.uci.edu/ml/datasets/Diabetes+130-US+hospitals+for+years+1999-2008"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00296/"|"http://archive.ics.uci.edu/ml/datasets/Diabetes+130-US+hospitals+for+years+1999-2008#"|"Diabetes 130-US hospitals for years 1999-2008 Data Set"|"Multivariate"|"100000"|"Life"|"Integer"|"55"|"2014-05-03"|"Yes"|"237366"|""
"http://archive.ics.uci.edu/ml/datasets/Human+Activity+Recognition+Using+Smartphones"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00240/"|"http://archive.ics.uci.edu/ml/datasets/Human+Activity+Recognition+Using+Smartphones#"|"Human Activity Recognition Using Smartphones Data Set"|"Multivariate, Time-Series"|"10299"|"Computer"|"N/A"|"561"|"2012-12-10"|"N/A"|"804270"|""
"http://archive.ics.uci.edu/ml/datasets/NYSK"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00260/"|"http://archive.ics.uci.edu/ml/datasets/NYSK#"|"NYSK Data Set"|"Multivariate, Sequential, Text"|"10421"|"Social"|"N/A"|"7"|"2013-10-11"|"N/A"|"46077"|""
"http://archive.ics.uci.edu/ml/datasets/Moral+Reasoner"|"http://archive.ics.uci.edu/ml/machine-learning-databases/moral-reasoner/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/moral-reasoner/moral.info"|"Moral Reasoner Data Set"|"Domain-Theory"|"202"|"Computer"|"N/A"|"N/A"|"1994-06-01"|"N/A"|"34733"|""
"http://archive.ics.uci.edu/ml/datasets/UJI+Pen+Characters"|"http://archive.ics.uci.edu/ml/machine-learning-databases/uji-penchars/version1/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/uji-penchars/version1/uji.names"|"UJI Pen Characters Data Set"|"Multivariate, Sequential"|"1364"|"Computer"|"Integer"|"N/A"|"2007-06-01"|"No"|"84670"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large160.jpg"
"http://archive.ics.uci.edu/ml/datasets/sEMG+for+Basic+Hand+movements"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00313/"|"http://archive.ics.uci.edu/ml/datasets/sEMG+for+Basic+Hand+movements#"|"sEMG for Basic Hand movements Data Set"|"Time-Series"|"3000"|"Life"|"Real"|"2500"|"2014-11-18"|"N/A"|"53688"|""
"http://archive.ics.uci.edu/ml/datasets/Thyroid+Disease"|"http://archive.ics.uci.edu/ml/machine-learning-databases/thyroid-disease/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/thyroid-disease/HELLO"|"Thyroid Disease Data Set"|"Multivariate, Domain-Theory"|"7200"|"Life"|"Categorical, Real"|"21"|"1987-01-01"|"N/A"|"181384"|""
"http://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset+at+Different+Concentrations"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00270/"|"http://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset+at+Different+Concentrations#"|"Gas Sensor Array Drift Dataset at Different Concentrations Data Set"|"Multivariate, Time-Series"|"13910"|"Computer"|"Real"|"129"|"2013-10-23"|"N/A"|"57503"|""
